Cluster,RA_ICRS,DE_ICRS,GLON,GLAT,r50,N,pmRA,pmDE,Plx,dmode,dmode_01,dmode-01,X,Y,Z,Rgc,SimbadName,_RA.icrs,_DE.icrs
ASCC_10,51.869998931884766,34.98099899291992,155.72300720214844,-17.770000457763672,0.5580000281333923,71,-1.7369999885559082,-1.3680000305175781,1.4589999914169312,672.0,629.5999755859375,720.4000244140625,-583.3,263.1,-205.10000610351562,8927.2001953125,[KPR2005] 10,51.87,34.981
ASCC_101,288.39898681640625,36.36899948120117,68.02799987792969,11.607999801635742,0.3720000088214874,75,0.9340000152587891,1.2879999876022339,2.48799991607666,397.29998779296875,382.20001220703125,413.79998779296875,145.6,360.9,79.9000015258789,8202.2998046875,[KPR2005] 101,288.399,36.369
ASCC_105,295.5480041503906,27.365999221801758,62.82500076293945,2.062999963760376,0.6480000019073486,127,1.4639999866485596,-1.6349999904632568,1.7829999923706055,551.7999877929688,522.9000244140625,584.0,251.8,490.5,19.899999618530273,8103.0,[KPR2005] 105,295.548,27.366
ASCC_107,297.16400146484375,21.98699951171875,58.90399932861328,-1.9010000228881836,0.17399999499320984,59,-0.1550000011920929,-5.156000137329102,1.1089999675750732,878.5,807.5999755859375,963.0999755859375,453.5,751.9,-29.200000762939453,7922.2998046875,[KPR2005] 107,297.164,21.987
ASCC_108,298.3059997558594,39.3489990234375,74.37799835205078,6.073999881744385,0.5370000004768372,230,-0.5189999938011169,-1.690000057220459,0.8379999995231628,1154.0,1034.5999755859375,1304.5,309.0,1105.1,122.0999984741211,8106.7001953125,[KPR2005] 108,298.306,39.349
ASCC_11,53.055999755859375,44.85599899291992,150.54600524902344,-9.223999977111816,0.31200000643730164,276,0.9259999990463257,-3.0299999713897705,1.1410000324249268,854.5,787.2000122070312,934.2999877929688,-734.4,414.7,-137.0,9083.900390625,[KPR2005] 11,53.056,44.856
ASCC_110,300.74200439453125,33.52799987792969,70.41100311279297,1.378000020980835,0.2029999941587448,70,0.2709999978542328,-3.131999969482422,0.4970000088214874,1902.199951171875,1598.199951171875,2349.10009765625,637.6,1791.6,45.70000076293945,7908.10009765625,[KPR2005] 110,300.742,33.528
ASCC_111,302.8909912109375,37.51499938964844,74.71399688720703,2.055999994277954,0.5370000004768372,156,-1.149999976158142,-1.5240000486373901,1.1660000085830688,836.9000244140625,772.2999877929688,913.4000244140625,220.5,806.8,30.0,8159.5,[KPR2005] 111,302.891,37.515
ASCC_113,317.9330139160156,38.63800048828125,82.87699890136719,-6.589000225067139,0.5289999842643738,196,0.800000011920929,-3.678999900817871,1.7619999647140503,558.2000122070312,528.7000122070312,591.2000122070312,68.8,550.3,-64.0999984741211,8289.5,[KPR2005] 113,317.933,38.638
ASCC_114,324.989990234375,53.99700164794922,97.08200073242188,1.027999997138977,0.2160000056028366,150,-3.7160000801086426,-3.4210000038146973,1.065999984741211,913.2000122070312,836.7999877929688,1005.0,-112.6,906.1,16.399999618530273,8501.0,[KPR2005] 114,324.99,53.997
ASCC_115,329.2799987792969,51.55799865722656,97.52799987792969,-2.503999948501587,0.25,39,-0.5490000247955322,-0.5429999828338623,1.3109999895095825,746.0,694.2000122070312,806.2000122070312,-97.6,738.9,-32.599998474121094,8469.900390625,[KPR2005] 115,329.28,51.558
ASCC_12,72.4000015258789,41.74399948120117,162.98599243164062,-1.8930000066757202,0.30300000309944153,162,-0.6340000033378601,-2.7939999103546143,0.9409999847412109,1030.699951171875,934.2999877929688,1149.0999755859375,-985.0,301.4,-34.0,9329.900390625,[KPR2005] 12,72.4,41.744
ASCC_123,340.29901123046875,53.986000061035156,104.43399810791016,-4.140999794006348,1.2940000295639038,55,12.093000411987305,-1.406999945640564,4.26200008392334,233.10000610351562,227.6999969482422,238.60000610351562,-57.9,225.1,-16.799999237060547,8401.0,[KPR2005] 123,340.2989,53.986
ASCC_127,347.2049865722656,64.9739990234375,112.3489990234375,4.23199987411499,0.6269999742507935,122,7.473999977111816,-1.7450000047683716,2.632999897003174,375.6000061035156,362.0,390.29998779296875,-142.4,346.5,27.700000762939453,8489.5,[KPR2005] 127,347.2049,64.974
