,source_id,ra,dec,parallax,pmra,pmdec,radial_velocity,bp_rp,phot_g_mean_mag,mg
0,69218418793157632,52.20035692469735,25.575669577366558,6.794950688394551,19.2580435975258,-42.95443333641404,,2.9864492,16.167494,10.32842536700772
1,69409424578948608,53.9596123518294,25.705596325576217,7.398161892112196,21.959718509670324,-46.13832264899045,,2.7951365,15.8764,10.22201914709676
2,69313419173585792,53.09405710106657,24.992829844593107,8.24680819553853,23.627046653524417,-47.20138967032407,,3.3102188,18.876741,13.458170878547689
3,69351219182301184,53.55617451287221,25.423586178432508,7.326184770207633,20.971090476121283,-45.68968668050221,,3.1085167,16.96327,11.287659525379883
4,69252980393727360,53.593976955842166,24.877855592527634,6.636213894805618,20.48313049925513,-44.62256046812205,,3.661415,19.224936,13.334537409213215
5,69349535555140608,53.40847999471635,25.337884117645643,8.333219604540295,22.93852402228083,-50.29960142197992,,2.693139,14.912872,9.516936448940427
6,69448899622936704,54.54263493673342,26.125753589134067,7.083031594357309,20.074262209043265,-45.52616917745316,,3.503584,19.823961,14.07505715295252
7,69461784523819904,53.76968548573227,25.846558674844417,7.827122899604987,21.33016780505027,-44.33245376525149,,,18.206787,12.674797874680646
8,69252293199079424,53.66092212752323,24.85778976002332,7.365267834891376,22.95157883252597,-47.721918590641536,,3.202032,19.648682,13.984624362642084
9,69545935818482560,52.6856258326321,25.652028250036835,7.406744113207949,24.11581989519366,-46.99520435386643,,3.4384422,20.22262,14.570756715312491
10,69486733990130048,53.67316471840466,26.1574407779226,7.425472130218131,21.37985486670449,-44.72034374892656,,3.3858871,17.662935,12.01655561897816
11,69420213536768896,54.40614738490049,25.69704996773092,6.5858384676659,17.49129607979079,-40.96214386394268,,3.1193495,17.193485,11.286540632352567
12,69470206956077056,53.99969287084575,26.025508258500945,6.713580250421977,20.368053715689086,-42.06187366598752,,3.4257889,17.352795,11.487565570215729
13,69400010010608768,54.350687310530994,25.722129544562154,7.580526813962965,22.062345740401817,-46.78495447168506,,2.269802,14.565029,8.96352608567091
14,69400834644329984,54.31970329947009,25.73632069044346,6.611444740520545,19.244168422560715,-41.810299981786144,,3.031004,16.845268,10.946750111445288
15,69260990509512192,53.31000767082622,24.83543431798614,7.95276111500512,23.26111841477871,-48.500296214852426,,3.1962805,16.967094,11.469684107953755
16,69485978075890176,53.68502433346344,26.095801262994584,6.830571778411533,20.005172236350678,-42.2629042139031,5.06725402493778,1.4486895,12.849354,7.021639087472291
17,69370941672125184,53.214374010062734,25.57929839823011,6.99512638994932,23.083741380750087,-49.80179136726674,4.821386042934904,1.7850208,13.403002,7.626979614558131
18,69250235911393408,53.50763162421595,24.880711962985888,7.105270745385779,21.388479938050907,-44.43925240194852,3.2655007061852537,0.90870476,10.720345,4.978247700014988
19,69335619861034752,52.81657414750252,25.25526399095128,7.567083873449976,22.596277504653447,-46.64825822034517,,0.32885647,8.077231,2.471874145706039
20,69485252225162368,53.69682124412543,26.094626380251945,5.615781310731285,17.43296738609082,-50.613372309825074,1.879183976488985,0.85393906,10.314622,4.061672861318968
21,69294319455655808,53.983631360021896,25.366362938308985,7.454241212160418,22.485485319979663,-45.43457664324377,,2.5033493,15.177941,9.539958532335874
22,69294010218010240,54.02223602552969,25.350823542566317,7.683137207228335,21.48962695555475,-46.87856125375765,,2.918128,16.444975,10.872667844231586
23,69359602957871744,53.71177985574755,25.579450289470657,8.455539327556776,21.507291367209437,-40.32630532134824,,2.9102802,20.433046,15.06875291007998
24,69502298951642496,54.40713884340816,26.35099866290496,7.6327624454830945,22.285772694007512,-48.31709175881958,,3.016549,16.713663,11.12707183140554
25,69874243118711040,56.58319645212432,25.47536407086544,7.418771797113361,19.669677631352226,-45.716469681443975,,,11.481304,5.8329642302128
26,69649736589001600,52.63976653935667,26.215557401487487,6.866292202447468,20.992203828480964,-42.19730785656119,4.463299948675871,1.4683266,12.826823,7.010434641316309
27,69585140280997760,52.82484811663217,26.028618694550023,7.240981659166531,21.20589914220553,-43.59007458741257,3.7733807875185015,1.2946634,12.316703,6.61569007995444
28,69838302833692160,56.15605129873356,25.137590963324847,7.565130093731612,22.09928553608684,-46.67834546395846,6.814513372972476,1.5158587,12.802538,7.196619921925166
29,69837134602589952,56.214727095029566,25.08778100859336,6.996506852151961,19.851148096368757,-45.76725779649895,,3.1192894,17.007547,11.231953697552717
30,69838131035001856,56.13412078669038,25.136600953942622,7.575432002710872,21.742459788682076,-48.11732998574834,,3.0992317,17.456938,11.853974811461192
31,69834282744302208,56.26209569041525,25.088658117982007,7.318682963868929,20.73284743297372,-45.81728306461256,,3.1500921,16.999392,11.3215562281637
32,69807963184755840,56.25481621280633,24.77791432889511,7.417320599391199,20.27206260935502,-46.83569650282082,,2.938613,16.562204,10.913439615760256
33,69834866859848192,56.32570006557808,25.09934751115023,7.43326437794405,20.827288746331224,-46.30912412194984,7.026819509251496,1.7743263,13.571771,7.927668565893825
34,69754155834196224,52.87334641674517,26.50328867114029,6.950795880168038,19.975923189930786,-44.855978159005616,,2.9866772,16.71239,10.922563574821634
35,69699588273236096,53.40581818800978,26.55014578033345,6.698691480426939,21.23782675739262,-49.39174772634231,,2.9579163,18.213497,12.343447042286908
36,69876923179646080,55.9519390074864,25.0434113719478,7.222891350214565,18.90584077731629,-45.75572057477304,,3.04,16.022493,10.316048772767836
37,69824249700740736,56.102938218377226,24.864663544100104,7.013173551302467,19.12380557000036,-47.17399776516571,,2.9824648,15.943587,10.17316023460148
38,69834763780636672,56.30933039482449,25.08863736599787,6.704077931290965,19.0290268241374,-41.34615339720572,0.4889586891539927,1.7710791,13.727313,7.859008312140681
39,69883417170175488,55.951816397432765,25.189867897145785,7.641885582227047,20.160546725440486,-46.706644425902816,6.5150022505258525,1.0561934,10.6272955,5.04329814881627
40,69643757994608512,52.89021122300216,26.26528408470037,6.812579511830639,20.625067491619788,-42.05876675060474,3.5787544932003392,0.8783865,10.573719,4.740276945190157
41,69575313395795584,53.251649288534935,25.99584709099842,7.39725499404698,21.501224227510107,-45.69025784969904,1.9320771863783504,1.4516373,12.632732,6.978085339942517
42,69829541100441600,55.98634871354892,24.9933305041012,7.416413756346845,20.98154628692373,-44.74020281032057,,2.4762526,15.076346,9.427316151333017
43,69877468638718720,55.86628386631932,25.02790148189307,7.064854892678619,17.621895104013404,-45.01643616207768,,3.6457996,18.09349,12.339006831398322
44,69896473870624640,55.80678104760392,25.269935629317104,7.396174660310489,20.05713949231931,-45.81636726447396,0.0778982090808924,1.2527733,11.968134,6.313169718649753
45,69860293066219136,56.41275504551179,25.224215193288845,7.281297155041481,19.766538753987252,-44.92717152354653,,2.1187134,14.259017,8.570060767098965
46,69859262274067584,56.48874900273008,25.18672171439133,7.34404240831091,19.35401348581213,-45.68150748359628,,2.784422,15.293792,9.623467651145432
47,69864313155605120,56.31406415248178,25.289282570617026,7.413373539120267,19.887743309500006,-45.83908274601097,-15.679949197177338,1.0293226,11.011639,5.361718059132988
48,69840879814047872,56.266810286435685,25.257653157550354,7.361768810694915,18.640326499441024,-45.35855946329494,5.5566381897769705,0.88975143,10.544441,4.879352096755358
49,69783842646586624,53.53344259378696,26.874682675684557,7.23144663847641,19.521609749320422,-44.72881114813541,,3.2265606,19.464886,13.761011640923726
50,69583177479805824,52.83632890545249,25.959214026620373,7.614909362126951,23.219088016053107,-47.88892633003948,,3.7698689,19.297865,13.70618860610088
51,69573251811510912,53.21411775726367,25.91563287977178,6.825256008900582,20.10573454485299,-43.09475816394418,,3.190072,17.216558,11.38715318638972
52,69859124835119360,56.46653703651039,25.166995611623012,7.236248181180144,18.560007463547816,-45.397133813588326,,3.1334906,16.863642,11.161209005969717
53,69854348831573504,56.725203001348206,25.245652598801325,7.106221478223396,19.30926403629738,-43.80329738589805,,2.4576235,15.06558,9.323774062721675
54,69892385061858944,56.09757763246834,25.3581728577202,7.97874748478627,22.046510922180826,-46.72424213124609,,2.8863144,15.512853,10.022526271418464
55,69877434278985088,55.89252339832218,25.037821922264467,6.673315270947494,17.511079485970587,-41.23691920321681,,3.3864174,19.309088,13.430795967987674
56,69863454162150656,56.32088155282936,25.26308922141776,7.153810136635332,20.14821442522066,-43.91612322636677,,2.6865873,14.947666,9.22035321678716
57,69651759518208000,52.656221913998536,26.345883808120995,7.105522114977095,21.578294639266204,-44.35407365393638,,3.0994682,17.358538,11.61651765129325
58,69872044096705664,56.49651219995799,25.39839644131894,7.600061923424725,20.55827405724242,-45.38716719692786,,0.28597307,8.00354,2.4076256931586286
59,69811364798863744,56.10348263799233,24.76821918626869,7.470613704718746,20.339070278394225,-45.89636991585376,,2.2257013,14.470423,8.837204145812589
60,69806039039416832,56.27740405421808,24.678415237568007,7.554070400251451,19.990376233116173,-45.1949391184505,,3.1098652,17.659185,12.0500905491614
61,69864313154046592,56.31516478044895,25.2897134450007,7.011595214527672,18.463828112488304,-47.96214735868958,,1.4050503,17.226929,11.456012890679403
62,69811639676769536,56.08380189550965,24.795967541491937,7.424900457522266,19.805332136928502,-46.52674758697796,3.8939714465888073,0.8778496,10.467337,4.820789832798843
63,69847610026687104,56.61406720825912,25.135337435698997,7.378191904384264,20.941524053302224,-45.50812279661365,6.248084999670532,0.84881496,10.404107,4.74385682829428
64,69812945346809344,56.28658248993226,24.84195494856626,7.195321794208931,20.500661170335466,-45.40937979699698,,2.3229723,15.993503,10.2787537245235
65,69704643451409792,53.69813291842404,26.370286803563527,7.324244649433484,20.26172049213862,-45.14182371612138,,2.9626923,16.67815,11.001964389369544
66,69877163697813248,55.94994538803952,25.053012027021506,7.441610092877773,21.22166896925082,-45.94671628943077,,1.9315166,13.925313,8.28364755186594
67,69811948914407168,56.169919301964136,24.818340237379328,7.408644202933376,20.08905091814514,-45.5411756767418,4.303103660926709,0.71434784,9.712552,4.061245762971455
68,69887432964003584,56.146606554273,25.22840839536449,7.949034369466004,20.41564999095548,-47.74639338090893,,2.7516594,20.339405,14.840976933610406
69,69824730737081600,56.04707805099306,24.87605902923705,7.542372474738592,21.541214231117856,-44.56203058951274,,3.038374,17.574656,11.96219541246446
70,69823940463098752,56.11385207609108,24.84376374321564,7.584187079369021,21.012895489282705,-49.20830588769071,,2.0216541,13.302774,7.702319615406708
71,69823940463098112,56.1133440793357,24.844961144700036,7.385471109344804,20.390536286753843,-48.03012763842423,,3.0548725,18.277685,12.619576183389931
72,69858094042908928,56.769873814074856,25.380418200826085,8.223137862451429,21.71861148823529,-45.18867381594789,,2.8210611,15.169112,9.744300062249325
73,69878503727603072,56.00958852850887,25.064761358119583,7.4858654143068,20.594465026712005,-44.36493790151252,,2.3217554,14.72701,9.09821984737262
74,69876506565909632,55.86099629113456,24.99413885271326,7.702988728295296,19.16865584264531,-44.6964330240853,6.444900337945703,1.3712006,12.223905,6.657200921495125
75,69876712724339456,55.9514793562376,25.004191328822355,7.306604285251033,19.879835986262677,-45.51456248934156,10.211720662921945,1.1216526,11.438498,5.757075479550885
76,69856272976786560,56.69668869794645,25.347950029073413,7.560941595053435,21.200648975564818,-46.952951684311465,,3.1732616,16.624432,11.017311026814514
77,69898810332838400,55.6785647059076,25.280903376826505,7.022063832886972,19.70796030055069,-43.295163488676494,,1.812748,13.770322,8.002645711148393
78,69829609819915648,56.01779069851887,24.9896235104989,7.675576054490252,20.43877052564484,-49.70440295277638,5.335257019272916,0.87180996,10.568231,4.993785525542862
79,69794528526747136,53.151274463414005,26.9693633092037,7.752906607458722,22.161908236905205,-48.61056039032936,,3.6874027,18.425388,12.872711098342071
80,69583456653826048,52.81106720520612,25.980904186906216,7.381846980549645,21.77467717658994,-44.82253617813396,,2.1985464,14.468811,8.809636227132788
81,69873418486230272,56.5160068677058,25.452802417208005,7.290626054390116,22.549904490475747,-44.94494919158799,,1.8749657,13.8229885,8.136812626545321
82,69812945346809600,56.29067985628384,24.839063380926994,7.34047390507555,20.744403816335925,-46.53761367053355,,-0.093093395,5.6231275,-0.0482520439485156
83,69763158085629440,53.06383635785564,26.69831951778028,7.900022648012039,24.40337209868425,-46.810522176523655,,2.698389,15.517011,10.0051523704824
84,69763329884321664,53.04294836349934,26.703447592265103,7.114958782400334,20.37938780461706,-43.66521987178808,,3.0232134,16.383373,10.644235203099951
85,69816102146573440,56.380756135176085,24.879715607512438,6.290810631084145,20.42090491313212,-45.01631719222652,,2.6683254,19.974104,13.96763698784585
86,69814388455816960,56.20917049772812,24.91091690461163,7.445933005755682,20.313904053377268,-48.02843790673645,4.047773447653833,1.564805,12.989554,7.349150027046029
87,69585140280997888,52.82421000786936,26.02849661377695,6.049622634529962,16.975255806793047,-43.854247444953806,,1.6541061,17.3024,11.211042013612996
88,69810093488518784,56.34797934059688,24.85061054912553,7.208744315701594,21.452254099148867,-44.8662363709968,,2.2304296,14.476115,8.76541333657375
89,69819027020489088,56.35062643985072,24.885785528205197,7.280298495834878,20.48187669492969,-45.51997762406358,6.101523650788776,0.69124794,9.562554,3.8733002892679593
90,69819404977607168,56.337016707833314,24.92188054150604,7.159600193603756,20.328431892696084,-44.27771524633406,39.270634101493776,0.6286812,8.893207,3.1676504519363764
91,69871219462957952,56.6908059549611,25.458254812591136,7.504523345623505,20.84248228624595,-46.8091178689525,,2.727644,15.680554,10.05716995483575
